,File,Label,annotated,path,Label_bio,Label_bio_str
25,example_cluster42_image3.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster42_image3.png,['Stroma'],Stroma
26,example_cluster123_image3.png,Tumor,Yes,output/export/clusters/example_cluster123_image3.png,['Tumor'],Tumor
27,example_cluster22_image5.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster22_image5.png,"['Stroma', 'Tumor']",Stroma|Tumor
28,example_cluster106_image20.png,Liver,Yes,output/export/clusters/example_cluster106_image20.png,['Liver'],Liver
30,example_cluster103_image5.png,Stroma|Tumor|Out of focus,Yes,output/export/clusters/example_cluster103_image5.png,"['Stroma', 'Tumor']",Stroma|Tumor
31,example_cluster2_image7.png,RBCs|Lymphocytes,Yes,output/export/clusters/example_cluster2_image7.png,"['RBCs', 'Lymphocytes']",RBCs|Lymphocytes
33,example_cluster25_image20.png,Stroma,Yes,output/export/clusters/example_cluster25_image20.png,['Stroma'],Stroma
36,example_cluster189_image16.png,Out of focus|Tumor,Yes,output/export/clusters/example_cluster189_image16.png,['Tumor'],Tumor
37,example_cluster21_image24.png,Tumor,Yes,output/export/clusters/example_cluster21_image24.png,['Tumor'],Tumor
38,example_cluster111_image15.png,Stroma,Yes,output/export/clusters/example_cluster111_image15.png,['Stroma'],Stroma
39,example_cluster143_image1.png,Glass/Blank,Yes,output/export/clusters/example_cluster143_image1.png,[],Glass/Blank
40,example_cluster102_image24.png,Connective tissue,Yes,output/export/clusters/example_cluster102_image24.png,['Connective tissue'],Connective tissue
41,example_cluster97_image9.png,Stroma,Yes,output/export/clusters/example_cluster97_image9.png,['Stroma'],Stroma
42,example_cluster178_image9.png,Stroma,Yes,output/export/clusters/example_cluster178_image9.png,['Stroma'],Stroma
43,example_cluster152_image10.png,Necrosis|Out of focus,Yes,output/export/clusters/example_cluster152_image10.png,['Necrosis'],Necrosis
44,example_cluster71_image10.png,Necrosis,Yes,output/export/clusters/example_cluster71_image10.png,['Necrosis'],Necrosis
46,example_cluster150_image12.png,Tumor,Yes,output/export/clusters/example_cluster150_image12.png,['Tumor'],Tumor
47,example_cluster198_image7.png,Necrosis|Stroma,Yes,output/export/clusters/example_cluster198_image7.png,"['Necrosis', 'Stroma']",Necrosis|Stroma
48,example_cluster60_image21.png,Orange Images|Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster60_image21.png,"['Lymphocytes', 'Stroma']",Lymphocytes|Stroma
49,example_cluster26_image1.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster26_image1.png,"['Stroma', 'Tumor']",Stroma|Tumor
51,example_cluster107_image1.png,RBCs,Yes,output/export/clusters/example_cluster107_image1.png,['RBCs'],RBCs
52,example_cluster188_image8.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster188_image8.png,['Stroma'],Stroma
53,example_cluster140_image22.png,Tumor,Yes,output/export/clusters/example_cluster140_image22.png,['Tumor'],Tumor
54,example_cluster16_image2.png,Lymphocytes,Yes,output/export/clusters/example_cluster16_image2.png,['Lymphocytes'],Lymphocytes
55,example_cluster61_image20.png,Orange Images|Stroma|Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster61_image20.png,"['Stroma', 'Lymphocytes', 'Tumor']",Stroma|Lymphocytes|Tumor
56,example_cluster70_image11.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster70_image11.png,"['Stroma', 'Tumor']",Stroma|Tumor
57,example_cluster69_image19.png,Orange Images|Tumor,Yes,output/export/clusters/example_cluster69_image19.png,['Tumor'],Tumor
58,example_cluster142_image20.png,RBCs,Yes,output/export/clusters/example_cluster142_image20.png,['RBCs'],RBCs
59,example_cluster151_image11.png,Tumor,Yes,output/export/clusters/example_cluster151_image11.png,['Tumor'],Tumor
60,example_cluster117_image0.png,Artifact|RBCs|Tumor,Yes,output/export/clusters/example_cluster117_image0.png,"['RBCs', 'Tumor']",RBCs|Tumor
61,example_cluster36_image0.png,Necrosis|Out of focus,Yes,output/export/clusters/example_cluster36_image0.png,['Necrosis'],Necrosis
62,example_cluster90_image0.png,Necrosis|Out of focus,Yes,output/export/clusters/example_cluster90_image0.png,['Necrosis'],Necrosis
63,example_cluster79_image9.png,Necrosis|Tumor,Yes,output/export/clusters/example_cluster79_image9.png,"['Necrosis', 'Tumor']",Necrosis|Tumor
64,example_cluster134_image10.png,Artifact|Out of focus|Tumor,Yes,output/export/clusters/example_cluster134_image10.png,['Tumor'],Tumor
65,example_cluster8_image1.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster8_image1.png,"['Stroma', 'Tumor']",Stroma|Tumor
66,example_cluster53_image10.png,Plasmacell|Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster53_image10.png,"['Lymphocytes', 'Stroma', 'Plasmacell']",Lymphocytes|Stroma|Plasmacell
67,example_cluster171_image0.png,WBCs|RBCs,Yes,output/export/clusters/example_cluster171_image0.png,"['RBCs', 'WBCs']",RBCs|WBCs
68,example_cluster10_image8.png,Normal,Yes,output/export/clusters/example_cluster10_image8.png,['Normal'],Normal
69,example_cluster199_image24.png,Orange Images|Stroma|Tumor,Yes,output/export/clusters/example_cluster199_image24.png,"['Stroma', 'Tumor']",Stroma|Tumor
71,example_cluster40_image23.png,WBCs|RBCs,Yes,output/export/clusters/example_cluster40_image23.png,"['RBCs', 'WBCs']",RBCs|WBCs
72,example_cluster130_image14.png,RBCs,Yes,output/export/clusters/example_cluster130_image14.png,['RBCs'],RBCs
73,example_cluster50_image4.png,RBCs,Yes,output/export/clusters/example_cluster50_image4.png,['RBCs'],RBCs
74,example_cluster121_image23.png,Tumor,Yes,output/export/clusters/example_cluster121_image23.png,['Tumor'],Tumor
75,example_cluster99_image7.png,Stroma,Yes,output/export/clusters/example_cluster99_image7.png,['Stroma'],Stroma
76,example_cluster111_image6.png,Necrosis|Orange Images,Yes,output/export/clusters/example_cluster111_image6.png,['Necrosis'],Necrosis
77,example_cluster30_image6.png,Out of focus|Stroma,Yes,output/export/clusters/example_cluster30_image6.png,['Stroma'],Stroma
78,example_cluster42_image21.png,Muscle,Yes,output/export/clusters/example_cluster42_image21.png,['Muscle'],Muscle
79,example_cluster51_image12.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster51_image12.png,['Stroma'],Stroma
80,example_cluster151_image2.png,Tumor,Yes,output/export/clusters/example_cluster151_image2.png,['Tumor'],Tumor
81,example_cluster123_image21.png,Tumor,Yes,output/export/clusters/example_cluster123_image21.png,['Tumor'],Tumor
82,example_cluster70_image2.png,Tumor,Yes,output/export/clusters/example_cluster70_image2.png,['Tumor'],Tumor
83,example_cluster132_image12.png,Plasmacell,Yes,output/export/clusters/example_cluster132_image12.png,['Plasmacell'],Plasmacell
84,example_cluster20_image7.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster20_image7.png,"['Stroma', 'Tumor']",Stroma|Tumor
85,example_cluster101_image7.png,Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster101_image7.png,"['Lymphocytes', 'Stroma']",Lymphocytes|Stroma
86,example_cluster0_image9.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster0_image9.png,"['Stroma', 'Tumor']",Stroma|Tumor
87,example_cluster89_image8.png,Tumor,Yes,output/export/clusters/example_cluster89_image8.png,['Tumor'],Tumor
88,example_cluster122_image22.png,RBCs,Yes,output/export/clusters/example_cluster122_image22.png,['RBCs'],RBCs
89,example_cluster60_image3.png,Connective tissue,Yes,output/export/clusters/example_cluster60_image3.png,['Connective tissue'],Connective tissue
91,example_cluster141_image3.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster141_image3.png,"['Stroma', 'Tumor']",Stroma|Tumor
92,example_cluster50_image13.png,RBCs,Yes,output/export/clusters/example_cluster50_image13.png,['RBCs'],RBCs
93,example_cluster41_image22.png,Tumor,Yes,output/export/clusters/example_cluster41_image22.png,['Tumor'],Tumor
94,example_cluster40_image5.png,RBCs,Yes,output/export/clusters/example_cluster40_image5.png,['RBCs'],RBCs
95,example_cluster120_image24.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster120_image24.png,"['Stroma', 'Tumor']",Stroma|Tumor
96,example_cluster121_image5.png,Tumor|Mucin,Yes,output/export/clusters/example_cluster121_image5.png,"['Tumor', 'Mucin']",Tumor|Mucin
97,example_cluster133_image11.png,RBCs|Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster133_image11.png,"['RBCs', 'Tumor', 'Lymphocytes']",RBCs|Tumor|Lymphocytes
98,example_cluster124_image20.png,Necrosis,Yes,output/export/clusters/example_cluster124_image20.png,['Necrosis'],Necrosis
99,example_cluster80_image1.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster80_image1.png,"['Stroma', 'Tumor']",Stroma|Tumor
100,example_cluster43_image20.png,Artifact|RBCs,Yes,output/export/clusters/example_cluster43_image20.png,['RBCs'],RBCs
101,example_cluster161_image1.png,Tumor,Yes,output/export/clusters/example_cluster161_image1.png,['Tumor'],Tumor
102,example_cluster18_image0.png,RBCs|Lymphocytes,Yes,output/export/clusters/example_cluster18_image0.png,"['RBCs', 'Lymphocytes']",RBCs|Lymphocytes
103,example_cluster52_image11.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster52_image11.png,"['Stroma', 'Tumor']",Stroma|Tumor
104,example_cluster10_image17.png,RBCs|Normal,Yes,output/export/clusters/example_cluster10_image17.png,"['RBCs', 'Normal']",RBCs|Normal
106,example_cluster169_image18.png,WBCs|RBCs,Yes,output/export/clusters/example_cluster169_image18.png,"['RBCs', 'WBCs']",RBCs|WBCs
107,example_cluster88_image18.png,Tumor,Yes,output/export/clusters/example_cluster88_image18.png,['Tumor'],Tumor
108,example_cluster170_image10.png,Apoptosis|Tumor,Yes,output/export/clusters/example_cluster170_image10.png,"['Tumor', 'Apoptosis']",Tumor|Apoptosis
109,example_cluster196_image9.png,Stroma|Tumor|Out of focus,Yes,output/export/clusters/example_cluster196_image9.png,"['Stroma', 'Tumor']",Stroma|Tumor
110,example_cluster24_image3.png,Normal,Yes,output/export/clusters/example_cluster24_image3.png,['Normal'],Normal
111,example_cluster14_image13.png,Necrosis,Yes,output/export/clusters/example_cluster14_image13.png,['Necrosis'],Necrosis
112,example_cluster4_image5.png,RBCs,Yes,output/export/clusters/example_cluster4_image5.png,['RBCs'],RBCs
114,example_cluster3_image24.png,Glass/Blank,Yes,output/export/clusters/example_cluster3_image24.png,[],Glass/Blank
115,example_cluster12_image15.png,Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster12_image15.png,"['Lymphocytes', 'Stroma']",Lymphocytes|Stroma
116,example_cluster44_image1.png,Necrosis,Yes,output/export/clusters/example_cluster44_image1.png,['Necrosis'],Necrosis
117,example_cluster16_image11.png,Lymphocytes,Yes,output/export/clusters/example_cluster16_image11.png,['Lymphocytes'],Lymphocytes
118,example_cluster5_image22.png,Glass/Blank,Yes,output/export/clusters/example_cluster5_image22.png,[],Glass/Blank
119,example_cluster125_image1.png,Tumor,Yes,output/export/clusters/example_cluster125_image1.png,['Tumor'],Tumor
120,example_cluster89_image17.png,Tumor,Yes,output/export/clusters/example_cluster89_image17.png,['Tumor'],Tumor
121,example_cluster11_image16.png,Necrosis,Yes,output/export/clusters/example_cluster11_image16.png,['Necrosis'],Necrosis
122,example_cluster4_image23.png,RBCs,Yes,output/export/clusters/example_cluster4_image23.png,['RBCs'],RBCs
123,example_cluster115_image2.png,Stroma,Yes,output/export/clusters/example_cluster115_image2.png,['Stroma'],Stroma
125,example_cluster15_image12.png,Stroma,Yes,output/export/clusters/example_cluster15_image12.png,['Stroma'],Stroma
126,example_cluster14_image4.png,Stroma,Yes,output/export/clusters/example_cluster14_image4.png,['Stroma'],Stroma
127,example_cluster13_image14.png,WBCs|RBCs|Lymphocytes,Yes,output/export/clusters/example_cluster13_image14.png,"['RBCs', 'WBCs', 'Lymphocytes']",RBCs|WBCs|Lymphocytes
128,example_cluster135_image0.png,Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster135_image0.png,"['Lymphocytes', 'Tumor']",Lymphocytes|Tumor
129,example_cluster168_image19.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster168_image19.png,"['Stroma', 'Tumor']",Stroma|Tumor
130,example_cluster6_image21.png,Stroma,Yes,output/export/clusters/example_cluster6_image21.png,['Stroma'],Stroma
131,example_cluster54_image0.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster54_image0.png,['Stroma'],Stroma
132,example_cluster17_image10.png,Tumor,Yes,output/export/clusters/example_cluster17_image10.png,['Tumor'],Tumor
133,example_cluster160_image20.png,RBCs,Yes,output/export/clusters/example_cluster160_image20.png,['RBCs'],RBCs
134,example_cluster87_image19.png,Tumor|Mucin,Yes,output/export/clusters/example_cluster87_image19.png,"['Tumor', 'Mucin']",Tumor|Mucin
135,example_cluster162_image0.png,RBCs,Yes,output/export/clusters/example_cluster162_image0.png,['RBCs'],RBCs
136,example_cluster81_image0.png,Stroma,Yes,output/export/clusters/example_cluster81_image0.png,['Stroma'],Stroma
138,example_cluster123_image12.png,Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster123_image12.png,"['Lymphocytes', 'Tumor']",Lymphocytes|Tumor
139,example_cluster41_image4.png,Artifact|Stroma,Yes,output/export/clusters/example_cluster41_image4.png,['Stroma'],Stroma
140,example_cluster114_image21.png,Connective tissue,Yes,output/export/clusters/example_cluster114_image21.png,['Connective tissue'],Connective tissue
141,example_cluster33_image21.png,RBCs,Yes,output/export/clusters/example_cluster33_image21.png,['RBCs'],RBCs
142,example_cluster122_image4.png,RBCs,Yes,output/export/clusters/example_cluster122_image4.png,['RBCs'],RBCs
143,example_cluster42_image12.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster42_image12.png,['Stroma'],Stroma
144,example_cluster112_image23.png,Tumor,Yes,output/export/clusters/example_cluster112_image23.png,['Tumor'],Tumor
146,example_cluster121_image14.png,Artifact|Tumor,Yes,output/export/clusters/example_cluster121_image14.png,['Tumor'],Tumor
147,example_cluster40_image14.png,WBCs|RBCs,Yes,output/export/clusters/example_cluster40_image14.png,"['RBCs', 'WBCs']",RBCs|WBCs
148,example_cluster1_image8.png,Necrosis,Yes,output/export/clusters/example_cluster1_image8.png,['Necrosis'],Necrosis
149,example_cluster31_image23.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster31_image23.png,"['Stroma', 'Tumor']",Stroma|Tumor
150,example_cluster102_image6.png,Connective tissue,Yes,output/export/clusters/example_cluster102_image6.png,['Connective tissue'],Connective tissue
151,example_cluster199_image15.png,Stroma,Yes,output/export/clusters/example_cluster199_image15.png,['Stroma'],Stroma
152,example_cluster195_image19.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster195_image19.png,"['Stroma', 'Tumor']",Stroma|Tumor
153,example_cluster125_image10.png,Tumor,Yes,output/export/clusters/example_cluster125_image10.png,['Tumor'],Tumor
154,example_cluster61_image2.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster61_image2.png,"['Stroma', 'Tumor']",Stroma|Tumor
155,example_cluster44_image10.png,Necrosis,Yes,output/export/clusters/example_cluster44_image10.png,['Necrosis'],Necrosis
156,example_cluster142_image2.png,WBCs|RBCs,Yes,output/export/clusters/example_cluster142_image2.png,"['RBCs', 'WBCs']",RBCs|WBCs
157,example_cluster9_image0.png,Necrosis|RBCs|Lymphocytes,Yes,output/export/clusters/example_cluster9_image0.png,"['RBCs', 'Necrosis', 'Lymphocytes']",RBCs|Necrosis|Lymphocytes
159,example_cluster198_image16.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster198_image16.png,"['Stroma', 'Tumor']",Stroma|Tumor
160,example_cluster11_image7.png,Necrosis,Yes,output/export/clusters/example_cluster11_image7.png,['Necrosis'],Necrosis
161,example_cluster120_image15.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster120_image15.png,"['Stroma', 'Tumor']",Stroma|Tumor
162,example_cluster111_image24.png,Stroma,Yes,output/export/clusters/example_cluster111_image24.png,['Stroma'],Stroma
163,example_cluster43_image11.png,Necrosis,Yes,output/export/clusters/example_cluster43_image11.png,['Necrosis'],Necrosis
164,example_cluster132_image3.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster132_image3.png,['Stroma'],Stroma
166,example_cluster124_image11.png,RBCs|Stroma|Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster124_image11.png,"['Stroma', 'RBCs', 'Tumor', 'Lymphocytes']",Stroma|RBCs|Tumor|Lymphocytes
167,example_cluster51_image3.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster51_image3.png,"['Stroma', 'Tumor']",Stroma|Tumor
168,example_cluster115_image20.png,Artifact|Stroma|Tumor,Yes,output/export/clusters/example_cluster115_image20.png,"['Stroma', 'Tumor']",Stroma|Tumor
169,example_cluster112_image5.png,Tumor,Yes,output/export/clusters/example_cluster112_image5.png,['Tumor'],Tumor
170,example_cluster32_image22.png,Tumor,Yes,output/export/clusters/example_cluster32_image22.png,['Tumor'],Tumor
172,example_cluster113_image22.png,Stroma,Yes,output/export/clusters/example_cluster113_image22.png,['Stroma'],Stroma
173,example_cluster31_image5.png,Stroma,Yes,output/export/clusters/example_cluster31_image5.png,['Stroma'],Stroma
174,example_cluster122_image13.png,RBCs,Yes,output/export/clusters/example_cluster122_image13.png,['RBCs'],RBCs
175,example_cluster152_image1.png,Necrosis,Yes,output/export/clusters/example_cluster152_image1.png,['Necrosis'],Necrosis
176,example_cluster196_image18.png,Stroma|Tumor|Out of focus,Yes,output/export/clusters/example_cluster196_image18.png,"['Stroma', 'Tumor']",Stroma|Tumor
177,example_cluster71_image1.png,Necrosis,Yes,output/export/clusters/example_cluster71_image1.png,['Necrosis'],Necrosis
178,example_cluster1_image17.png,Tumor,Yes,output/export/clusters/example_cluster1_image17.png,['Tumor'],Tumor
179,example_cluster187_image9.png,Necrosis,Yes,output/export/clusters/example_cluster187_image9.png,['Necrosis'],Necrosis
180,example_cluster5_image13.png,Glass/Blank,Yes,output/export/clusters/example_cluster5_image13.png,[],Glass/Blank
182,example_cluster150_image21.png,Plasmacell|Orange Images|Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster150_image21.png,"['Lymphocytes', 'Stroma', 'Plasmacell']",Lymphocytes|Stroma|Plasmacell
183,example_cluster3_image15.png,RBCs|Out of focus,Yes,output/export/clusters/example_cluster3_image15.png,['RBCs'],RBCs
184,example_cluster116_image1.png,Tumor,Yes,output/export/clusters/example_cluster116_image1.png,['Tumor'],Tumor
186,example_cluster80_image10.png,Tumor,Yes,output/export/clusters/example_cluster80_image10.png,['Tumor'],Tumor
187,example_cluster79_image18.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster79_image18.png,"['Stroma', 'Tumor']",Stroma|Tumor
188,example_cluster35_image1.png,RBCs,Yes,output/export/clusters/example_cluster35_image1.png,['RBCs'],RBCs
189,example_cluster161_image10.png,Tumor,Yes,output/export/clusters/example_cluster161_image10.png,['Tumor'],Tumor
190,example_cluster2_image16.png,Stroma|Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster2_image16.png,"['Stroma', 'Lymphocytes', 'Tumor']",Stroma|Lymphocytes|Tumor
191,example_cluster197_image8.png,Necrosis|Tumor,Yes,output/export/clusters/example_cluster197_image8.png,"['Necrosis', 'Tumor']",Necrosis|Tumor
193,example_cluster151_image20.png,Tumor,Yes,output/export/clusters/example_cluster151_image20.png,['Tumor'],Tumor
194,example_cluster25_image2.png,Stroma,Yes,output/export/clusters/example_cluster25_image2.png,['Stroma'],Stroma
196,example_cluster6_image12.png,Stroma,Yes,output/export/clusters/example_cluster6_image12.png,['Stroma'],Stroma
197,example_cluster159_image19.png,Glass/Blank,Yes,output/export/clusters/example_cluster159_image19.png,[],Glass/Blank
198,example_cluster106_image2.png,Liver,Yes,output/export/clusters/example_cluster106_image2.png,['Liver'],Liver
200,example_cluster70_image20.png,Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster70_image20.png,"['Lymphocytes', 'Tumor']",Lymphocytes|Tumor
201,example_cluster4_image14.png,RBCs,Yes,output/export/clusters/example_cluster4_image14.png,['RBCs'],RBCs
202,example_cluster45_image0.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster45_image0.png,['Stroma'],Stroma
203,example_cluster0_image18.png,Stroma|Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster0_image18.png,"['Stroma', 'Lymphocytes', 'Tumor']",Stroma|Lymphocytes|Tumor
204,example_cluster126_image0.png,Necrosis,Yes,output/export/clusters/example_cluster126_image0.png,['Necrosis'],Necrosis
205,example_cluster8_image10.png,Tumor,Yes,output/export/clusters/example_cluster8_image10.png,['Tumor'],Tumor
206,example_cluster180_image0.png,Tumor,Yes,output/export/clusters/example_cluster180_image0.png,['Tumor'],Tumor
208,example_cluster60_image12.png,Artifact|Stroma,Yes,output/export/clusters/example_cluster60_image12.png,['Stroma'],Stroma
209,example_cluster169_image9.png,RBCs,Yes,output/export/clusters/example_cluster169_image9.png,['RBCs'],RBCs
210,example_cluster88_image9.png,Tumor,Yes,output/export/clusters/example_cluster88_image9.png,['Tumor'],Tumor
211,example_cluster132_image21.png,Orange Images|Stroma,Yes,output/export/clusters/example_cluster132_image21.png,['Stroma'],Stroma
212,example_cluster141_image12.png,Apoptosis|Stroma|Tumor,Yes,output/export/clusters/example_cluster141_image12.png,"['Stroma', 'Tumor', 'Apoptosis']",Stroma|Tumor|Apoptosis
213,example_cluster100_image8.png,Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster100_image8.png,"['Lymphocytes', 'Stroma']",Lymphocytes|Stroma
214,example_cluster140_image4.png,Plasmacell|Stroma|Tumor,Yes,output/export/clusters/example_cluster140_image4.png,"['Stroma', 'Tumor', 'Plasmacell']",Stroma|Tumor|Plasmacell
215,example_cluster62_image10.png,Pigment|Stroma|Lymphocytes,Yes,output/export/clusters/example_cluster62_image10.png,"['Lymphocytes', 'Stroma', 'Pigment']",Lymphocytes|Stroma|Pigment
218,example_cluster143_image10.png,Glass/Blank,Yes,output/export/clusters/example_cluster143_image10.png,[],Glass/Blank
219,example_cluster130_image23.png,WBCs|RBCs,Yes,output/export/clusters/example_cluster130_image23.png,"['RBCs', 'WBCs']",RBCs|WBCs
220,example_cluster17_image1.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster17_image1.png,"['Stroma', 'Tumor']",Stroma|Tumor
221,example_cluster160_image2.png,RBCs,Yes,output/export/clusters/example_cluster160_image2.png,['RBCs'],RBCs
222,example_cluster110_image7.png,RBCs|Lymphocytes,Yes,output/export/clusters/example_cluster110_image7.png,"['RBCs', 'Lymphocytes']",RBCs|Lymphocytes
223,example_cluster142_image11.png,Orange Images|RBCs|Tumor,Yes,output/export/clusters/example_cluster142_image11.png,"['RBCs', 'Tumor']",RBCs|Tumor
224,example_cluster98_image8.png,WBCs|Stroma|Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster98_image8.png,"['Stroma', 'Lymphocytes', 'Tumor', 'WBCs']",Stroma|Lymphocytes|Tumor|WBCs
225,example_cluster133_image20.png,Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster133_image20.png,"['Lymphocytes', 'Tumor']",Lymphocytes|Tumor
226,example_cluster52_image20.png,Artifact|RBCs,Yes,output/export/clusters/example_cluster52_image20.png,['RBCs'],RBCs
227,example_cluster179_image8.png,Tumor,Yes,output/export/clusters/example_cluster179_image8.png,['Tumor'],Tumor
228,example_cluster61_image11.png,Stroma,Yes,output/export/clusters/example_cluster61_image11.png,['Stroma'],Stroma
229,example_cluster150_image3.png,Stroma,Yes,output/export/clusters/example_cluster150_image3.png,['Stroma'],Stroma
230,example_cluster130_image5.png,RBCs,Yes,output/export/clusters/example_cluster130_image5.png,['RBCs'],RBCs
231,example_cluster199_image6.png,Tumor,Yes,output/export/clusters/example_cluster199_image6.png,['Tumor'],Tumor
232,example_cluster50_image22.png,RBCs,Yes,output/export/clusters/example_cluster50_image22.png,['RBCs'],RBCs
233,example_cluster27_image0.png,RBCs,Yes,output/export/clusters/example_cluster27_image0.png,['RBCs'],RBCs
234,example_cluster170_image1.png,Necrosis|Tumor|Lymphocytes,Yes,output/export/clusters/example_cluster170_image1.png,"['Necrosis', 'Lymphocytes', 'Tumor']",Necrosis|Lymphocytes|Tumor
235,example_cluster140_image13.png,Stroma|Tumor,Yes,output/export/clusters/example_cluster140_image13.png,"['Stroma', 'Tumor']",Stroma|Tumor
237,example_cluster7_image2.png,Tumor,Yes,output/export/clusters/example_cluster7_image2.png,['Tumor'],Tumor
238,example_cluster108_image0.png,Normal,Yes,output/export/clusters/example_cluster108_image0.png,['Normal'],Normal
239,example_cluster16_image20.png,Lymphocytes,Yes,output/export/clusters/example_cluster16_image20.png,['Lymphocytes'],Lymphocytes
240,example_cluster25_image11.png,Stroma,Yes,output/export/clusters/example_cluster25_image11.png,['Stroma'],Stroma
